===== Data File Created =====
List of Double Numbers: 33.071728879946846 30.48352982444901 38.93004295888888 34.211910142043386 24.023172470615055 
List of Integer Numbers: 42 48 8 8 18 
List of Double Numbers: 38.393996773273415 36.50013496501975 29.487912479667134 46.97363777148008 46.921927462776765 
List of Integer Numbers: 22 46 49 11 4 
List of Double Numbers: 42.28051339544952 11.471848216315845 41.916291376809305 39.060795874345246 6.470211846236873 
List of Integer Numbers: 39 49 24 45 21 
List of Double Numbers: 27.33229271396553 20.22233685072905 37.04235925989592 23.771501933715296 6.6416716304572905 
List of Integer Numbers: 1 3 14 30 44 
List of Double Numbers: 23.729228081301557 21.052644715010683 13.982345231142169 35.952470699718 11.324469092821337 
List of Integer Numbers: 20 30 0 5 34 
List of Double Numbers: 43.42780893082675 22.098681466424768 29.368222703549268 17.513273641500177 7.194616410811522 
List of Integer Numbers: 27 17 41 20 44 
List of Double Numbers: 24.515346942687426 44.59662102590454 12.983564533736514 20.855180589169198 15.246452851690412 
List of Integer Numbers: 9 5 13 20 17 
